field1,field2,field3,field4,field5,refkey1,refkey2
late,local,492.73,offer,4.348,of,around
see,theory,452.75,animal,4.645,reality,yet
expert,low,305.5,wonder,4.143,serve,hair
crime,themselves,198.19,travel,2.523,right,resource
one,TV,964.25,else,6.284,range,expert
section,so,759.58,on,4.654,against,wear
wife,consumer,134.17,with,6.726,son,out
for,consider,285.15,successful,9.837,all,all
believe,war,451.11,particularly,8.946,whatever,require
memory,this,825.49,and,8.765,forget,region
material,ever,181.09,despite,8.439,company,wait
response,rather,378.23,event,5.833,issue,adult
fact,very,785.06,instead,3.415,design,most
for,identify,802.05,candidate,1.581,bring,some
foot,special,416.06,small,6.129,throughout,tree
available,sometimes,173.58,instead,3.017,note,tonight
buy,site,40.08,indeed,6.006,peace,local
now,she,82.04,letter,3.163,rest,power
decide,class,835.31,tough,4.675,little,drop
TV,improve,165.42,rise,8.172,activity,whatever
if,line,69.04,small,6.667,represent,call
successful,energy,30.76,doctor,5.762,himself,toward
marriage,improve,152.98,television,0.695,risk,beat
owner,health,461.94,garden,8.477,here,foot
high,opportunity,439.43,tonight,2.764,different,provide
age,big,465.69,door,6.781,agent,drive
meeting,food,832.55,simple,4.965,attorney,different
section,structure,814.06,mother,3.095,increase,doctor
look,several,807.0,unit,9.469,wait,model
point,protect,547.65,day,1.71,whose,realize
not,budget,553.03,chance,3.702,do,these
specific,question,553.22,better,7.898,politics,miss
thought,Congress,806.37,that,5.257,ready,deal
staff,your,466.14,government,5.441,fly,program
rock,clear,831.39,situation,3.737,various,national
upon,case,169.76,blood,7.096,at,interest
fact,lose,642.71,seem,7.268,off,per
already,home,816.0,say,7.012,PM,save
piece,into,329.29,structure,7.282,long,add
ground,week,218.54,project,3.114,often,raise
play,if,156.48,catch,6.142,everything,write
purpose,military,486.24,federal,8.667,month,direction
your,probably,668.73,seek,9.272,father,suddenly
case,decision,164.15,president,2.438,wait,guess
specific,way,256.52,head,0.841,yes,hard
you,game,321.52,would,5.094,across,suddenly
store,official,214.34,role,3.081,brother,maintain
price,job,531.84,fish,6.651,since,public
quality,degree,293.48,air,7.933,sport,expert
human,edge,742.65,national,5.435,past,gas
speech,tree,315.24,everybody,3.094,sit,reflect
then,happy,161.77,whether,7.616,scientist,individual
eight,notice,661.08,us,1.549,best,at
leg,director,475.68,mention,5.336,season,study
interview,according,956.33,my,7.726,probably,move
back,family,60.02,final,7.25,worker,federal
Mrs,high,650.31,section,4.762,still,area
low,oil,696.96,concern,7.698,room,probably
side,allow,926.35,goal,6.563,play,black
rock,house,12.95,drug,5.207,church,involve
probably,health,852.12,no,7.405,hair,country
official,record,583.98,idea,0.547,only,movement
black,resource,873.85,recognize,3.782,leader,remember
data,will,996.56,one,1.345,moment,return
economy,the,812.1,read,5.092,even,book
water,office,971.19,grow,6.193,every,something
new,act,569.5,large,3.319,avoid,floor
particularly,find,451.08,whole,2.912,three,also
treat,among,951.96,news,3.108,against,central
center,only,582.54,moment,2.167,responsibility,student
business,deep,784.83,foot,5.206,never,wear
write,wife,397.07,score,4.597,full,especially
there,brother,400.64,party,1.29,stay,approach
cost,alone,395.63,bill,7.668,surface,home
result,most,218.72,body,5.153,thing,power
better,education,292.25,lose,0.825,administration,traditional
real,which,828.27,appear,5.692,close,science
page,network,401.11,real,4.234,general,debate
until,will,831.03,mouth,5.867,others,fight
lead,Republican,488.11,west,3.718,article,ability
accept,something,238.04,certain,4.096,situation,bag
find,push,210.04,officer,2.998,hear,your
money,west,166.81,modern,5.349,impact,final
war,own,291.7,everything,2.093,look,simple
education,responsibility,960.47,choose,2.423,matter,actually
main,traditional,565.13,among,1.06,law,I
responsibility,smile,887.55,idea,3.104,training,season
then,upon,972.68,cold,0.285,low,dog
form,western,983.38,artist,5.277,real,picture
around,if,234.19,recent,4.4,resource,either
anyone,tend,959.14,staff,2.114,leg,position
on,enjoy,151.29,somebody,5.721,industry,student
stuff,stuff,702.84,degree,5.384,break,water
oil,respond,605.37,top,6.095,class,be
near,social,228.33,share,1.222,pass,side
ability,television,747.37,onto,0.83,ever,prevent
mean,enjoy,983.92,student,8.116,discuss,the
term,who,59.4,among,7.728,expert,instead
rate,spring,381.17,office,1.446,young,least
short,sister,84.05,control,9.491,avoid,develop
growth,manage,712.59,son,3.972,current,boy
second,within,413.6,rather,5.687,production,guess
similar,tree,506.96,partner,4.74,across,thank
free,investment,902.1,still,9.266,according,development
chair,son,223.21,worker,1.406,painting,they
wait,wrong,831.1,on,3.143,participant,hear
history,sister,650.19,attack,5.473,cut,yard
detail,ahead,634.69,pattern,1.215,degree,risk
Congress,few,685.63,turn,8.188,model,heart
tax,receive,415.92,speech,3.256,theory,college
inside,example,430.8,surface,0.293,free,news
sometimes,brother,163.23,second,9.029,argue,same
girl,look,727.14,ready,3.363,nearly,have
house,trip,436.51,wide,9.26,end,husband
establish,successful,408.35,tree,2.007,clearly,figure
item,over,604.89,owner,2.098,when,hotel
whose,about,50.96,American,5.162,forward,both
amount,relate,649.08,bar,9.448,probably,interest
experience,young,782.05,blood,8.881,former,cold
generation,step,459.42,resource,2.43,stay,party
accept,establish,986.41,run,0.599,break,material
town,successful,850.14,end,5.653,little,sure
door,amount,423.7,option,1.386,raise,amount
along,one,502.67,away,4.437,born,pick
choice,too,460.68,experience,9.632,fight,remember
lose,walk,600.03,the,5.626,father,nothing
skin,here,706.16,former,3.201,seat,tonight
work,already,468.08,federal,9.464,data,like
environmental,information,246.28,feel,1.837,reduce,paper
thousand,what,508.51,low,8.569,area,remain
half,within,702.96,none,6.641,stuff,represent
how,language,313.34,professor,9.024,sense,field
soldier,course,185.63,interesting,5.172,summer,sing
response,federal,708.39,energy,3.154,during,each
machine,discuss,827.34,now,6.56,design,goal
involve,almost,673.99,catch,6.482,their,sure
pretty,others,728.93,phone,6.096,yet,design
attack,myself,829.17,another,2.05,few,what
down,sit,125.77,machine,4.21,our,magazine
low,carry,760.81,minute,3.531,news,more
future,do,83.88,per,4.841,everyone,medical
up,plant,740.53,successful,7.928,beyond,clear
happen,high,496.83,high,3.664,around,class
against,white,142.9,with,8.823,structure,activity
computer,sound,114.85,PM,9.652,special,war
tax,sit,758.29,air,9.052,finish,any
simply,yet,820.28,view,7.93,grow,early
physical,like,606.46,civil,7.812,thus,fire
still,know,317.25,ground,2.894,write,together
third,eye,152.07,camera,1.221,eight,week
building,art,172.61,newspaper,4.873,protect,stop
across,happy,935.22,mind,4.301,computer,about
nor,up,618.36,yourself,5.766,claim,pressure
evidence,business,768.74,story,1.24,before,science
to,staff,356.77,hour,1.868,television,increase
on,recognize,675.98,free,2.92,leg,how
option,prepare,397.08,plant,5.366,media,step
service,blue,800.94,little,7.743,piece,improve
half,every,256.42,course,8.287,worry,especially
audience,natural,57.61,task,7.958,help,away
force,simple,211.7,then,3.347,chair,wish
national,forward,78.87,week,4.212,quickly,career
not,less,614.65,budget,4.289,ever,interesting
chance,describe,578.16,support,0.31,answer,question
point,action,115.39,significant,8.267,short,teach
leader,line,134.19,heart,1.936,purpose,onto
give,data,196.16,keep,6.881,feel,five
deal,bring,630.93,world,3.547,number,board
term,use,683.15,kind,8.238,dog,begin
contain,fish,88.6,vote,9.036,yard,avoid
leg,institution,563.13,benefit,0.805,billion,or
word,under,601.89,want,6.835,pull,smile
indicate,life,115.31,remain,1.578,use,like
smile,discuss,593.26,according,1.884,three,sea
interest,put,270.05,fire,2.482,available,defense
some,take,681.51,friend,7.765,order,join
add,street,652.73,various,4.418,radio,lead
wonder,huge,179.55,can,7.21,million,career
conference,sea,848.45,behind,3.943,go,so
large,especially,546.06,reduce,1.004,himself,condition
quality,court,341.14,main,6.798,sort,assume
media,throughout,618.16,always,3.556,care,audience
get,course,266.03,single,3.65,forward,challenge
late,gun,704.99,dream,3.937,and,style
she,generation,816.16,out,6.613,do,station
modern,paper,588.39,including,2.806,mouth,place
foot,make,546.34,wind,1.704,from,start
past,the,395.16,southern,4.69,goal,road
once,ok,650.91,situation,3.808,design,season
cultural,effect,86.84,machine,5.054,agent,institution
white,surface,411.66,foreign,8.722,practice,without
full,trip,48.08,should,5.277,want,improve
collection,physical,653.17,whose,0.717,thus,fund
his,score,33.77,art,6.971,himself,light
family,business,625.7,nation,9.549,policy,travel
too,leader,725.19,table,0.785,both,such
address,I,402.98,anyone,8.63,lawyer,particular
throw,lot,983.08,morning,5.757,control,anyone
song,majority,294.09,point,8.92,customer,player
game,old,63.74,himself,3.443,want,education
system,property,430.77,traditional,9.515,best,benefit
usually,ball,158.53,hope,0.382,and,on
boy,blood,480.14,cell,3.269,store,reduce
suffer,activity,821.29,catch,2.043,bill,type
back,stage,554.96,else,5.127,computer,after
star,floor,809.13,accept,2.093,newspaper,hot
production,general,279.57,our,0.787,tonight,guy
have,others,669.19,treat,8.15,hair,point
eight,hit,332.06,tree,5.912,well,population
name,power,236.72,response,0.86,join,when
child,drop,605.84,build,9.368,but,wear
likely,thank,765.02,nice,8.146,now,unit
mouth,enough,228.63,data,9.945,see,risk
ever,phone,313.9,environment,7.515,up,card
necessary,and,438.88,maybe,1.06,until,organization
serious,approach,663.08,force,6.232,personal,good
such,fight,904.62,certainly,7.458,write,stuff
center,look,167.66,skill,9.561,organization,manager
him,others,47.44,effort,5.136,goal,necessary
pull,page,459.3,law,5.842,rich,south
task,safe,652.71,shake,8.49,itself,enough
newspaper,bit,29.6,girl,3.655,real,include
movement,analysis,830.99,reason,0.929,population,trade
citizen,test,302.68,theory,8.735,economy,four
but,election,640.67,trial,9.932,sit,our
college,follow,819.78,feeling,9.815,speech,just
several,then,957.24,fast,2.679,officer,serve
drop,operation,150.22,study,1.625,occur,easy
war,travel,98.12,morning,5.264,tend,clear
nation,fill,268.25,art,7.57,away,store
production,president,283.9,could,4.91,wish,find
site,others,954.51,sister,9.624,meeting,safe
though,why,174.78,radio,7.504,card,notice
today,from,695.14,sit,1.702,mention,country
heavy,good,508.96,add,2.232,evidence,dark
question,it,660.61,his,1.604,management,later
adult,rate,206.92,keep,2.399,during,account
second,base,64.39,including,2.907,few,energy
security,information,209.57,few,0.444,face,score
group,citizen,259.26,pressure,9.352,than,possible
that,something,366.85,family,4.415,individual,here
public,action,505.97,real,2.267,base,play
hour,item,815.57,try,7.225,work,could
commercial,quality,65.79,available,8.298,agree,tonight
couple,step,88.77,majority,9.324,population,rather
be,education,762.12,news,8.133,window,only
send,hope,948.23,ten,1.105,behavior,what
third,enter,820.42,control,6.216,against,although
crime,try,465.68,improve,7.625,wrong,total
player,finish,347.11,government,9.605,half,her
above,economy,976.89,light,9.062,heart,nation
civil,economy,967.4,you,9.862,under,bad
campaign,its,180.91,support,3.456,whom,fall
arm,future,493.88,middle,2.09,contain,without
news,would,87.24,recent,1.072,perhaps,strong
within,term,348.45,worker,0.801,expert,improve
traditional,expert,667.1,heart,5.159,particular,you
with,stay,711.08,star,3.53,serve,democratic
seat,five,717.56,participant,3.05,finally,smile
so,growth,465.94,of,1.599,go,add
natural,fall,785.89,bank,1.74,bring,them
realize,government,29.38,during,3.732,population,involve
coach,why,842.37,much,3.313,it,necessary
statement,skin,44.0,bank,5.634,east,respond
avoid,party,90.47,bed,7.426,half,range
evidence,water,607.05,even,1.698,throw,unit
party,model,763.83,no,0.966,bar,maybe
national,behind,315.23,new,9.94,him,remember
center,throw,74.26,spring,3.803,class,social
out,office,963.53,service,9.502,red,section
arrive,skin,741.03,computer,7.207,when,term
approach,tell,956.61,response,6.505,project,should
war,herself,560.51,per,8.498,two,eye
consumer,half,176.64,experience,4.651,beyond,government
include,prepare,971.35,these,8.949,strong,high
very,and,858.51,particular,4.329,chance,hit
available,sense,366.2,to,5.072,recognize,card
interest,describe,803.03,half,7.005,method,no
hold,agency,207.24,way,4.562,behavior,whatever
find,situation,540.53,sport,2.748,moment,long
future,camera,158.93,pass,0.242,though,soon
phone,hour,762.75,do,6.049,conference,explain
western,business,250.07,such,1.694,suddenly,artist
receive,seat,204.53,expert,8.745,time,recent
natural,stop,232.33,third,3.217,town,high
describe,yet,659.26,attention,3.059,at,gun
assume,our,872.38,from,5.555,wife,technology
clear,never,711.56,myself,3.338,true,play
whose,analysis,734.15,the,6.571,image,team
I,so,994.91,mouth,9.415,include,newspaper
wall,television,992.57,alone,6.973,different,very
can,huge,787.67,activity,3.747,structure,condition
executive,project,956.07,certainly,6.603,term,something
ever,dog,83.01,but,0.388,type,could
me,free,944.65,last,6.993,together,back
author,figure,718.06,form,7.905,raise,policy
peace,card,567.32,either,0.992,lawyer,although
long,send,289.64,tend,9.258,itself,wind
here,focus,439.57,second,2.887,find,owner
pattern,key,414.89,turn,5.898,section,try
consumer,stock,582.76,result,9.833,voice,will
relate,week,577.16,thing,2.449,teacher,speak
either,nearly,99.09,knowledge,2.907,behind,gun
sometimes,keep,920.95,move,3.325,work,old
commercial,outside,189.05,require,8.547,interview,take
adult,with,462.98,stuff,7.172,far,defense
generation,garden,576.65,the,6.88,glass,billion
sound,themselves,137.05,out,2.723,man,cup
dream,six,279.5,drop,8.251,but,his
minute,move,679.23,air,7.717,themselves,plan
discuss,note,491.27,among,6.165,still,bag
question,citizen,168.56,beautiful,5.004,campaign,once
staff,claim,925.21,thought,3.68,scientist,somebody
should,help,392.79,perform,0.829,offer,practice
per,market,924.81,trade,0.349,face,defense
arm,once,589.11,magazine,1.698,close,score
our,design,667.54,national,4.872,send,thank
leave,organization,746.35,room,7.641,spring,study
person,rule,788.1,occur,3.507,scene,personal
side,power,686.53,prevent,9.222,business,public
current,well,77.86,student,9.527,apply,account
magazine,one,518.51,sign,3.204,exist,region
Republican,responsibility,849.7,different,2.947,store,economy
level,take,17.61,pattern,8.05,use,artist
tax,music,193.13,many,3.7,gun,keep
pay,week,302.87,true,5.414,everybody,attorney
piece,value,587.96,when,4.504,item,respond
Democrat,improve,273.34,fall,9.379,occur,write
left,free,89.03,into,0.586,option,could
modern,job,840.21,those,8.347,single,blood
public,break,435.59,it,4.439,oil,box
care,agent,391.48,five,5.219,enter,watch
kitchen,energy,912.67,cause,0.95,water,student
house,its,348.38,than,4.6,stay,eat
rich,population,56.99,the,9.091,better,significant
value,sometimes,49.79,indicate,2.28,white,our
than,single,702.73,care,1.124,set,indeed
drive,seat,12.73,thank,1.465,for,these
want,tax,113.97,wide,9.577,friend,home
plan,reach,134.7,often,7.267,book,benefit
better,game,535.97,recently,6.09,test,protect
story,power,502.6,again,9.87,stuff,information
policy,find,446.04,west,4.399,resource,green
change,any,582.64,laugh,2.638,energy,theory
type,knowledge,85.74,Congress,3.374,class,mouth
pick,dinner,113.44,himself,2.67,identify,change
coach,statement,636.32,easy,3.108,fact,owner
matter,get,143.67,just,7.319,like,debate
short,action,224.61,story,5.711,difficult,media
pay,certain,983.61,discover,1.708,couple,series
issue,daughter,464.88,high,1.537,thousand,federal
service,still,364.31,report,9.624,true,somebody
college,skill,737.79,provide,2.422,sister,second
serve,environmental,991.7,along,8.303,film,trouble
TV,direction,645.77,reduce,3.722,them,contain
letter,yourself,14.82,bed,8.796,well,clearly
house,then,437.0,health,2.459,data,executive
drive,set,618.25,finally,8.569,federal,treatment
institution,try,473.76,son,1.772,lead,thus
parent,personal,183.16,program,6.557,either,until
under,such,679.88,business,7.571,notice,may
financial,answer,315.98,eat,2.759,physical,yes
answer,go,843.93,high,7.737,their,food
course,sing,168.15,woman,5.222,manager,project
finish,exist,618.83,speech,8.092,result,upon
near,interview,666.9,mission,5.457,your,institution
son,property,929.63,rise,4.019,particular,day
process,store,940.57,experience,0.889,generation,area
either,late,887.92,my,1.44,statement,candidate
the,other,585.93,themselves,3.698,painting,put
man,mouth,313.17,oil,9.472,since,artist
design,who,141.72,decision,7.497,safe,environmental
friend,short,932.6,really,1.123,others,continue
surface,ball,980.94,group,1.716,Congress,individual
whether,food,170.43,force,4.633,detail,Democrat
job,national,687.23,camera,3.29,station,participant
whatever,firm,147.09,its,1.345,family,else
drive,medical,420.43,another,4.982,church,try
think,spend,979.35,cost,3.179,attack,design
class,responsibility,91.78,wear,0.433,very,yeah
chair,behind,84.95,to,0.554,job,manage
nice,part,764.27,out,1.59,take,choice
my,camera,307.18,for,6.91,beat,business
feeling,real,681.43,deal,5.312,prevent,his
accept,American,823.61,anyone,8.648,hope,serve
apply,happy,573.04,against,4.846,dinner,pay
its,easy,639.36,car,4.656,that,show
worry,technology,629.74,method,4.668,security,color
skin,image,613.87,personal,5.686,official,future
federal,under,585.63,there,7.576,wrong,week
law,what,742.19,situation,3.824,provide,hair
certain,large,19.72,condition,8.563,often,south
blood,term,970.45,miss,5.528,hear,herself
industry,available,762.42,kitchen,4.292,successful,page
pretty,right,836.33,treatment,1.077,low,fine
evening,late,440.89,stuff,3.079,case,camera
treatment,imagine,416.25,put,4.52,do,magazine
outside,few,397.01,six,8.42,player,project
add,few,517.89,material,5.685,letter,else
nature,voice,656.73,matter,5.05,enjoy,body
force,open,714.76,interesting,9.406,decide,goal
culture,coach,410.14,foreign,9.305,minute,which
better,above,520.15,control,8.819,report,account
cover,right,829.12,conference,9.301,blue,so
such,network,346.88,generation,4.421,detail,leave
rock,political,912.41,amount,9.417,member,protect
artist,man,934.67,nature,0.565,answer,return
account,community,791.19,relate,2.263,charge,soon
result,area,679.76,difference,3.418,report,over
in,family,563.18,manage,4.923,control,east
hand,people,944.47,cup,2.274,focus,job
forward,no,777.23,on,9.938,hear,chair
talk,argue,396.93,hear,5.06,American,truth
environment,security,688.41,apply,2.967,cause,training
people,put,565.5,certainly,1.2,training,small
rather,charge,347.95,drive,4.631,best,order
force,factor,196.55,begin,1.718,table,free
claim,set,668.11,nice,3.691,institution,other
popular,skill,729.49,hold,1.69,memory,site
pass,art,786.69,all,8.921,option,project
benefit,seven,73.83,upon,9.752,cut,art
born,finally,196.91,Democrat,2.64,article,smile
charge,born,729.6,modern,5.015,quality,reduce
poor,trial,548.65,our,9.321,general,dog
would,well,570.4,rise,1.467,long,thank
image,chair,813.78,cause,3.898,within,under
child,hold,868.33,follow,0.252,tend,economy
successful,run,148.02,finally,6.336,building,eight
PM,kid,85.33,environment,9.298,maintain,for
lawyer,season,976.15,yard,2.023,order,tough
now,stop,891.78,couple,3.83,section,growth
worry,perhaps,595.94,election,4.809,represent,on
owner,charge,348.72,both,3.162,wish,event
player,how,94.04,economy,0.621,possible,approach
film,official,140.02,son,1.608,institution,natural
try,positive,647.23,sometimes,5.514,any,but
energy,control,951.13,idea,0.5,town,better
east,all,993.43,cup,4.736,save,crime
civil,entire,171.0,group,3.236,exist,may
third,media,665.81,probably,0.424,respond,few
chance,would,700.13,seven,5.345,only,government
best,environmental,893.04,audience,9.739,factor,specific
particularly,sister,611.14,work,2.371,figure,between
real,figure,973.34,meet,4.551,campaign,size
personal,lead,424.9,there,3.295,wait,staff
successful,first,957.86,truth,9.386,future,want
notice,instead,508.8,present,9.734,mind,each
clearly,dark,467.87,section,6.115,among,note
structure,wish,130.45,collection,5.471,bad,management
might,point,311.36,agency,2.661,capital,us
country,pick,984.52,still,9.932,order,head
whole,song,256.77,part,7.249,politics,learn
loss,kid,408.77,lawyer,9.433,smile,enjoy
attention,democratic,400.06,magazine,3.429,box,value
who,executive,938.86,shoulder,8.417,end,whole
democratic,or,976.58,general,4.131,experience,issue
hit,how,687.84,particularly,2.4,ok,cover
open,hot,942.42,machine,9.884,understand,somebody
great,site,391.75,difficult,7.959,this,clear
reason,purpose,215.89,most,6.481,weight,success
manage,strong,755.07,magazine,8.427,bed,myself
nice,drive,917.14,computer,6.247,democratic,herself
forget,me,576.12,explain,7.134,vote,lawyer
fast,perhaps,437.82,woman,8.804,grow,probably
pick,though,275.75,strong,4.592,point,wife
none,fall,910.54,store,2.656,when,bring
defense,performance,623.79,national,6.359,board,from
like,example,701.21,let,3.801,nation,the
establish,easy,840.94,certain,9.039,management,group
life,manage,897.39,star,4.514,any,television
light,past,522.88,a,1.117,available,third
in,course,943.12,husband,7.56,fly,mind
together,couple,864.25,during,7.468,simply,late
bag,indeed,586.58,opportunity,9.106,anything,themselves
two,affect,670.43,school,0.954,address,hospital
pay,course,417.74,mouth,1.115,someone,feel
keep,year,58.73,night,4.589,machine,item
week,author,529.46,travel,7.784,pressure,almost
operation,reduce,662.33,type,3.491,last,art
difference,prove,892.96,point,5.731,tax,director
collection,cut,345.12,bill,4.075,road,pressure
happy,threat,548.34,claim,0.165,me,detail
score,senior,235.03,commercial,5.858,difficult,anyone
home,sense,491.2,bar,8.719,pass,system
stand,black,525.99,through,9.034,soldier,commercial
check,concern,562.21,whatever,2.911,exist,year
beautiful,impact,882.81,security,9.3,research,season
can,organization,301.06,family,7.268,politics,myself
operation,at,414.5,still,6.767,personal,result
reality,education,812.91,east,7.842,type,sound
gun,civil,466.6,rather,6.928,occur,important
none,eight,697.23,just,2.955,enough,someone
after,sense,729.34,off,4.266,boy,contain
story,rich,784.33,I,7.369,much,fall
next,public,369.69,situation,0.699,couple,agency
box,along,980.02,successful,2.605,every,deal
lose,south,557.03,next,3.388,chance,offer
follow,tonight,764.49,capital,9.226,state,purpose
friend,be,211.87,particular,1.168,really,rest
generation,individual,474.76,PM,0.165,economy,trial
yet,scientist,521.72,kitchen,4.072,rule,action
story,a,84.81,agency,3.734,deal,day
some,up,564.85,front,0.272,population,Democrat
list,billion,732.59,guy,5.119,reduce,bill
white,office,461.7,consumer,8.332,nice,allow
rule,machine,630.53,we,4.509,sometimes,visit
easy,us,807.06,building,6.986,another,leg
investment,front,485.57,fall,3.505,open,walk
last,certain,196.47,Mrs,9.181,party,wind
administration,person,290.91,often,3.615,player,respond
explain,foot,519.82,whose,3.222,career,apply
cup,quickly,508.48,toward,3.344,plant,chance
church,wind,541.55,ok,9.698,respond,often
president,research,883.92,successful,4.939,fill,fast
gas,own,701.65,may,5.908,feeling,compare
involve,group,88.96,over,8.155,down,physical
walk,town,859.1,stock,3.927,third,billion
task,myself,880.04,stand,5.361,herself,modern
bag,price,922.84,book,9.171,local,number
ground,year,329.77,step,0.676,single,trip
Republican,others,784.92,treatment,8.941,family,name
music,everyone,53.52,case,5.549,possible,ask
people,season,595.35,cell,7.531,stand,them
night,total,147.09,blood,8.468,say,oil
door,anyone,361.21,sort,6.463,whose,five
get,know,95.06,wear,0.932,interest,fear
say,right,341.98,keep,0.163,purpose,him
than,police,671.76,ability,0.137,real,paper
vote,little,911.68,learn,7.782,other,see
economic,cost,995.29,wife,9.544,left,significant
bit,travel,920.86,expect,7.23,parent,professional
child,safe,295.42,yard,7.656,political,minute
personal,movement,449.61,stop,5.019,similar,machine
board,usually,631.98,without,5.848,process,lay
check,value,308.69,when,4.733,we,degree
exist,blue,503.6,wind,1.13,yourself,degree
choice,decade,277.98,skill,5.118,ask,last
for,expert,163.99,doctor,7.016,fear,imagine
among,often,132.15,early,7.761,represent,and
see,environmental,346.61,from,2.915,recently,property
cost,huge,416.54,accept,1.267,wish,film
offer,hit,434.58,some,4.876,PM,real
security,note,514.02,wrong,0.903,nation,reality
involve,not,900.66,indeed,3.002,table,adult
grow,president,331.43,newspaper,3.035,money,as
yard,hot,852.96,their,2.205,watch,left
cost,home,370.72,wish,0.567,establish,leave
score,eat,105.04,picture,9.695,leg,each
civil,leader,330.43,lawyer,2.363,to,maintain
all,purpose,461.75,system,9.264,idea,himself
let,side,770.34,military,1.599,economic,wish
happy,realize,941.44,test,3.545,husband,budget
with,court,191.81,democratic,4.149,attack,court
girl,standard,561.86,spend,3.91,perform,development
cut,kind,886.26,art,1.995,may,consider
big,defense,367.96,assume,1.134,may,economic
compare,whom,370.27,option,0.325,night,instead
anyone,analysis,104.98,amount,1.746,ago,feel
attorney,require,231.8,garden,6.09,still,north
police,mention,978.32,situation,9.669,language,capital
shoulder,here,662.82,unit,7.134,space,relate
low,need,440.61,game,9.99,small,spring
technology,message,637.58,believe,6.176,consider,need
per,seek,508.49,no,8.879,determine,lot
stage,back,993.95,into,6.187,now,include
state,cost,537.19,apply,6.912,ground,why
know,get,598.21,brother,8.661,dream,already
kid,design,328.09,natural,8.793,the,star
Republican,character,768.07,should,9.223,security,decade
board,throw,437.39,wish,1.506,history,purpose
by,show,611.66,road,6.798,life,recent
let,collection,542.87,course,3.646,thousand,hair
financial,inside,624.43,something,2.225,five,research
floor,message,574.31,else,5.505,laugh,evidence
lay,I,365.52,understand,3.367,especially,station
culture,act,835.79,computer,0.153,however,let
realize,point,705.84,firm,0.38,interest,explain
someone,certainly,516.61,change,8.793,agency,like
use,report,97.87,teach,6.195,house,this
discuss,before,385.02,young,8.008,activity,suggest
allow,indicate,686.95,up,2.358,moment,above
source,participant,695.56,move,3.139,indeed,before
campaign,dinner,333.17,course,8.816,guess,PM
different,personal,365.42,challenge,7.6,area,everybody
cold,drug,411.73,thing,3.63,despite,during
