refkey1,refdata1,refkey2,refdata2,refdata3,refdata4
raise,let,debate,she,commercial,668.12
member,then,front,pretty,water,51.97
common,cup,since,value,some,184.19
protect,must,behavior,Mrs,imagine,882.82
leader,difference,detail,against,may,66.28
pay,your,job,American,will,440.01
or,choice,nature,political,against,376.78
beautiful,form,meeting,spring,sister,449.94
base,edge,benefit,value,everybody,946.46
to,station,maintain,establish,public,704.52
history,admit,though,also,view,554.64
almost,certainly,decision,able,measure,620.43
attorney,audience,former,manager,woman,913.5
course,factor,thus,staff,baby,325.22
part,author,surface,subject,among,757.54
may,no,from,position,hair,6.03
really,music,defense,win,it,865.59
us,specific,political,news,area,416.94
again,cost,along,million,couple,723.09
each,before,physical,international,PM,16.85
fall,worry,between,term,large,350.06
prevent,him,his,detail,pattern,782.44
end,including,create,manage,government,155.25
everyone,resource,interview,trade,particularly,895.19
use,tell,sea,detail,recent,993.62
case,stop,six,else,friend,428.1
year,student,official,sister,certain,955.27
choice,imagine,offer,score,west,513.08
camera,option,north,green,we,790.48
base,day,watch,investment,must,883.71
size,bank,pass,shoulder,deal,373.67
positive,standard,future,suddenly,certain,817.35
letter,around,change,attention,line,159.49
heart,stage,hit,impact,official,244.32
model,try,business,level,child,40.14
rise,city,increase,discuss,field,757.18
include,matter,firm,perhaps,order,760.1
international,western,road,happy,sell,973.01
live,upon,spring,language,star,331.17
seven,city,develop,street,anyone,40.8
writer,already,minute,whole,do,783.73
unit,short,develop,significant,down,804.83
talk,both,event,keep,company,246.97
policy,likely,ahead,every,use,674.26
style,whether,art,stand,result,486.39
tonight,still,local,represent,enter,406.57
laugh,car,school,option,red,626.41
world,two,speech,management,tax,813.02
performance,machine,movement,seem,clear,271.25
of,evening,control,benefit,watch,334.9
thank,billion,senior,win,economic,837.72
American,half,truth,lay,start,524.4
give,test,machine,space,city,459.4
really,law,according,very,like,699.83
listen,read,way,player,large,136.71
recent,sort,nature,would,federal,297.05
truth,attention,race,well,suddenly,735.43
two,anything,quite,yourself,investment,729.25
fine,save,only,down,else,845.31
positive,difficult,measure,woman,plant,921.92
another,edge,how,surface,official,606.01
should,everybody,job,political,talk,587.67
knowledge,cell,concern,performance,investment,40.27
continue,current,trade,product,hand,123.93
around,pretty,without,entire,product,700.96
class,ago,example,attorney,pattern,587.61
program,bag,top,garden,coach,741.42
bed,ever,business,lead,live,190.89
quite,so,per,letter,near,271.71
long,long,fish,way,until,468.62
three,happy,also,than,religious,368.5
across,argue,design,across,ability,804.43
perform,much,do,short,perform,645.78
executive,sound,movie,best,yeah,60.04
base,through,group,church,theory,484.44
hundred,world,responsibility,nice,whether,360.42
market,good,keep,clear,include,114.26
debate,rock,across,growth,executive,647.52
knowledge,alone,itself,yeah,Congress,94.23
man,future,cup,piece,during,886.09
mind,never,so,especially,above,377.6
indicate,within,modern,crime,participant,600.7
available,share,whole,while,pass,153.91
rule,well,you,home,left,623.69
should,hospital,late,away,itself,51.69
despite,here,whatever,half,speech,520.13
evening,how,paper,whole,pick,380.85
sign,member,worry,home,fine,562.75
suddenly,article,finally,red,student,481.41
building,machine,wide,three,visit,215.68
little,clearly,young,figure,type,303.39
party,design,however,reason,partner,898.96
later,turn,into,rise,team,774.59
alone,can,shake,official,laugh,600.01
example,everyone,white,scientist,friend,162.67
win,story,bill,country,lay,155.85
skill,house,language,season,receive,453.35
join,task,when,him,benefit,220.2
score,bag,provide,culture,check,574.94
necessary,finish,term,window,voice,407.55
song,sound,meeting,return,dinner,449.75
degree,foot,interesting,six,section,825.34
word,sister,test,effort,blood,484.46
administration,TV,concern,hospital,religious,754.38
special,thing,forward,religious,high,935.43
as,only,ago,light,attorney,224.57
price,bank,between,hold,wonder,429.7
deal,sometimes,understand,PM,leave,412.93
radio,sell,agency,glass,none,55.78
memory,response,get,item,only,765.17
professor,from,military,serious,drug,237.76
play,prepare,easy,this,stuff,184.69
heavy,decide,final,increase,early,775.12
travel,ask,attack,become,respond,697.56
the,situation,similar,rest,until,600.36
television,morning,authority,hour,ask,988.42
under,section,media,strategy,matter,328.67
picture,tax,forward,manager,win,349.93
say,action,down,on,point,940.91
truth,marriage,beat,art,they,221.18
explain,middle,significant,start,step,155.63
skill,animal,bring,hit,worker,593.39
firm,evidence,meeting,world,summer,916.46
building,development,memory,population,station,817.5
production,appear,apply,including,time,156.28
within,power,under,really,model,435.95
add,mission,kitchen,despite,level,664.36
organization,explain,source,something,travel,802.54
at,him,interview,prepare,section,578.73
sometimes,walk,can,phone,contain,999.27
pressure,eight,cover,hold,ready,351.22
seat,large,crime,add,glass,471.47
which,Republican,month,subject,few,973.88
simple,anything,level,consumer,be,830.48
issue,meeting,bad,allow,visit,165.09
compare,staff,exist,between,eat,176.56
no,check,attack,name,born,79.1
arm,day,certain,film,half,349.75
audience,respond,anyone,someone,room,329.0
student,story,check,policy,course,181.11
foreign,involve,enjoy,onto,month,134.72
accept,or,you,drug,interesting,493.69
international,story,try,lawyer,nice,523.51
just,my,dark,themselves,analysis,570.36
before,painting,range,still,create,706.41
child,form,place,into,protect,22.47
keep,radio,west,want,than,143.87
forward,prevent,just,spring,forward,588.87
despite,these,institution,well,office,866.26
give,support,type,become,place,382.98
company,who,simply,own,crime,791.39
firm,present,respond,myself,radio,456.97
allow,if,whether,his,listen,30.87
none,talk,four,herself,own,831.78
either,middle,wrong,ball,themselves,796.05
camera,investment,no,effort,picture,785.31
available,bring,despite,in,much,255.46
leave,not,all,fact,first,964.26
before,nothing,among,appear,price,692.26
point,six,buy,TV,piece,484.72
hard,different,top,drive,sign,748.28
generation,final,show,evening,each,16.05
low,consumer,always,there,it,653.16
fire,major,state,how,less,884.54
international,must,account,prepare,will,247.12
scientist,result,somebody,man,our,784.77
detail,relate,head,process,sound,865.66
could,learn,someone,note,think,548.63
strategy,civil,Mr,create,herself,205.97
everybody,kitchen,drop,sister,current,773.51
civil,off,company,smile,improve,217.58
really,able,rest,stand,audience,200.11
pull,usually,accept,career,make,61.51
organization,attorney,response,expert,brother,526.32
girl,lay,various,social,great,735.11
total,theory,ability,pull,wide,842.16
party,show,draw,soldier,this,541.64
medical,exist,cost,morning,quickly,630.99
join,arm,reduce,clearly,exist,91.54
her,push,project,hair,action,251.31
miss,key,bad,member,piece,612.06
mention,area,rise,current,magazine,498.19
enough,material,use,traditional,loss,923.69
list,study,national,minute,almost,612.63
section,clearly,could,call,fire,44.58
force,admit,various,specific,almost,516.73
public,include,clearly,quality,approach,288.37
bit,able,recognize,skin,woman,491.45
decision,do,possible,professor,more,879.09
attack,value,consumer,hard,success,823.27
no,agency,yard,myself,article,277.0
loss,final,level,image,represent,39.71
his,country,individual,most,themselves,11.66
eat,information,crime,now,board,543.45
number,tough,wife,walk,technology,342.72
especially,item,provide,provide,culture,350.42
mother,teacher,street,my,security,278.71
middle,model,respond,such,those,61.09
past,look,without,message,occur,35.42
charge,finish,assume,how,play,576.85
toward,strong,full,certainly,before,622.58
ability,truth,sound,carry,issue,337.25
fill,conference,find,left,world,800.11
enter,foreign,better,simple,trade,214.84
treat,party,so,school,today,731.9
behavior,any,question,western,authority,203.83
leader,place,economic,onto,huge,926.64
next,may,green,step,deep,848.79
how,partner,thousand,fire,then,945.67
him,nice,west,challenge,kind,135.64
various,single,choose,fast,door,521.93
thing,third,education,pass,next,439.72
size,range,interview,job,when,945.07
agreement,east,seven,apply,example,659.37
little,between,drop,hard,source,590.17
wonder,most,attorney,man,beat,757.52
level,fly,point,policy,model,234.08
young,recently,night,husband,again,79.91
prove,peace,prevent,maybe,answer,93.86
dinner,see,trouble,teacher,almost,910.46
within,exactly,expert,tax,natural,270.88
interview,TV,matter,manage,personal,71.27
crime,address,man,expect,anything,260.71
recently,but,meeting,of,since,796.57
ever,finally,loss,teach,black,378.88
example,above,me,compare,wonder,875.64
catch,old,seek,media,imagine,120.56
already,order,administration,challenge,do,330.02
admit,alone,but,together,market,899.63
know,along,those,I,red,495.07
option,hard,money,receive,that,369.65
window,hot,clearly,state,view,689.98
name,record,successful,source,enjoy,966.14
station,sound,door,south,free,20.82
member,main,research,green,face,496.53
actually,cup,individual,half,month,227.67
west,mind,trouble,those,half,706.2
there,child,player,pass,Congress,335.99
support,author,break,approach,perform,714.24
baby,west,some,fight,expert,234.01
ability,debate,minute,much,training,675.1
section,pass,number,identify,argue,502.2
as,skill,peace,worker,high,278.47
soldier,movie,national,draw,free,233.89
couple,military,behind,ground,apply,636.84
everything,concern,unit,outside,knowledge,987.95
challenge,represent,audience,cost,suddenly,124.0
than,citizen,white,not,require,16.72
actually,anyone,maintain,spring,until,865.6
ground,central,admit,include,machine,88.45
possible,reflect,loss,hear,itself,704.35
husband,half,process,money,edge,689.86
indeed,role,area,rich,remember,444.83
official,be,operation,song,smile,86.66
safe,especially,environmental,into,be,240.81
seek,interest,soon,good,near,902.02
quite,health,throughout,two,low,635.74
Republican,ask,key,some,fly,897.76
also,window,then,need,against,743.29
development,treatment,direction,fire,white,900.42
idea,key,hot,through,commercial,736.8
knowledge,significant,run,off,contain,144.11
kid,character,central,lot,Republican,556.29
protect,career,hour,yes,amount,324.98
cost,modern,relationship,right,energy,370.47
during,effort,each,their,pattern,495.06
yard,stuff,long,radio,can,83.73
drop,activity,eight,sister,bed,752.79
surface,crime,sometimes,news,fight,868.79
law,several,find,fund,do,32.1
base,letter,gas,gas,state,703.64
ask,paper,stand,gun,person,519.15
however,heavy,region,ever,yet,79.15
book,argue,rock,consumer,clear,480.97
education,particular,bill,shoulder,citizen,410.11
they,as,else,especially,attorney,814.68
home,available,data,mouth,type,705.17
hear,even,chair,act,decade,25.62
dream,stage,guy,stop,member,139.75
top,end,exist,significant,simply,241.4
how,month,history,join,occur,973.27
trial,smile,maybe,nearly,affect,266.82
clear,doctor,think,heart,laugh,724.6
although,ask,wide,may,account,836.51
suggest,open,language,war,piece,604.93
set,history,couple,north,shake,370.72
beautiful,pattern,east,new,story,729.72
suggest,door,show,true,begin,871.07
daughter,gun,market,environment,data,787.31
call,raise,where,offer,point,657.25
film,husband,matter,have,capital,647.73
really,red,culture,bag,school,969.65
business,hear,air,daughter,throw,577.92
television,happy,be,give,ago,897.13
style,concern,than,seat,church,839.66
situation,treat,entire,require,cell,29.19
skill,movie,this,simple,there,387.43
clearly,treat,reflect,tonight,difference,372.1
fact,add,seem,prove,sometimes,293.08
probably,way,part,six,cup,992.36
employee,help,left,customer,skill,222.27
party,realize,throw,place,whether,651.32
human,state,sea,edge,everybody,348.99
strong,throw,consider,situation,quite,890.46
still,ok,board,positive,woman,569.74
stock,sing,contain,democratic,join,354.2
fine,listen,among,research,out,567.94
police,research,foot,a,material,834.92
box,study,my,trouble,price,465.7
play,population,real,few,forward,347.59
administration,present,run,this,guy,350.49
stuff,traditional,collection,bill,day,558.69
ten,or,now,according,ten,635.64
ball,usually,anyone,small,range,289.15
individual,either,draw,personal,resource,953.64
produce,sort,man,never,sometimes,980.36
campaign,whose,analysis,service,cup,747.26
chair,area,western,artist,care,298.72
officer,recently,various,claim,history,561.92
stand,play,doctor,understand,father,75.82
fire,trade,agree,contain,blue,891.28
safe,agree,true,source,although,578.75
fine,cause,billion,arrive,institution,587.52
risk,although,apply,six,his,341.81
ten,establish,all,condition,foot,113.82
artist,Congress,exactly,audience,wonder,1.99
between,director,sing,six,toward,852.15
land,answer,condition,authority,past,981.31
lead,service,song,can,article,821.92
issue,today,wife,moment,character,502.77
appear,really,new,edge,charge,319.49
school,describe,knowledge,government,group,549.93
painting,pick,weight,analysis,onto,16.61
consider,option,social,under,stay,184.43
billion,movie,continue,prepare,natural,136.49
follow,money,play,grow,everything,150.76
offer,appear,practice,level,start,322.86
bag,college,also,money,figure,213.55
at,sport,gun,major,whether,93.65
property,bill,old,argue,any,229.3
once,option,page,doctor,animal,333.52
understand,over,chair,method,might,760.57
indeed,amount,mouth,investment,call,316.1
rise,again,music,green,reach,799.68
week,carry,include,best,begin,686.36
moment,sell,itself,cut,size,35.42
reality,all,some,federal,ahead,508.91
woman,local,story,form,maybe,714.88
last,four,art,production,smile,191.39
fall,local,citizen,skill,serve,663.17
store,that,partner,think,way,53.99
style,each,hit,point,will,638.3
represent,part,sound,dog,than,218.51
mention,reduce,bill,society,through,933.86
enjoy,perform,morning,end,clearly,168.08
blood,everyone,budget,suggest,amount,135.79
debate,every,may,work,long,599.57
present,prepare,among,worry,specific,358.8
question,tax,have,avoid,second,582.43
war,hot,soldier,same,each,935.56
buy,play,people,arm,about,521.71
box,sure,throw,power,hit,407.11
soldier,two,score,learn,firm,955.88
billion,operation,behind,interview,but,209.85
agency,himself,better,administration,social,119.45
maintain,condition,impact,understand,term,908.64
prepare,how,Democrat,two,your,931.23
field,evening,become,significant,arm,830.55
city,fly,thus,buy,technology,735.27
stay,police,service,base,win,457.37
drug,film,radio,civil,movement,302.69
better,prove,court,bag,accept,717.21
bit,approach,agent,dream,theory,614.28
off,always,election,option,north,258.32
party,minute,election,seek,from,185.82
million,choice,century,want,article,743.36
person,say,budget,run,herself,775.22
could,skin,amount,drive,interesting,95.0
go,yes,before,difficult,wind,718.67
but,evening,effort,have,speech,93.27
light,for,customer,as,film,806.19
reveal,kitchen,method,dream,far,207.93
arrive,image,learn,imagine,process,673.76
across,hair,upon,strong,land,728.11
yet,meet,choice,ten,can,565.51
specific,popular,month,far,social,488.09
sound,morning,strong,necessary,whether,951.74
job,partner,field,first,make,924.04
song,section,site,general,fly,522.46
bill,organization,suddenly,young,which,544.37
build,realize,reveal,benefit,maintain,132.15
bar,continue,day,write,lawyer,568.63
fill,yeah,information,turn,manager,406.21
activity,begin,full,cut,wife,189.53
street,simply,area,wind,law,597.3
property,left,world,interesting,truth,955.26
more,media,coach,ability,down,517.45
it,court,run,person,east,160.1
great,thus,really,environment,water,434.52
free,medical,staff,Democrat,letter,610.31
second,almost,loss,reason,smile,937.45
population,people,head,maintain,family,406.88
fast,about,theory,chair,hair,338.72
western,industry,wonder,drop,upon,355.38
save,with,crime,medical,the,6.62
though,score,than,start,region,941.14
he,hospital,mean,be,prepare,278.6
affect,amount,man,measure,coach,483.36
may,word,somebody,enter,practice,943.24
benefit,song,section,question,billion,516.64
around,event,class,better,so,438.73
best,month,agree,time,control,884.28
level,pass,structure,place,prove,491.86
member,way,face,lay,local,958.58
little,board,set,remember,floor,97.16
hundred,agreement,majority,clearly,evening,647.88
next,thank,common,pretty,sound,22.24
sea,issue,deal,agreement,piece,897.87
rest,set,over,recently,truth,442.54
push,shake,his,team,second,604.25
better,cover,recognize,former,who,90.79
develop,four,artist,head,by,60.87
your,leg,enter,main,whom,620.4
pull,song,but,quite,discover,306.41
green,camera,radio,about,vote,322.32
store,head,yourself,stand,husband,879.51
second,prove,near,structure,research,276.22
dark,base,Republican,several,almost,747.0
store,order,phone,Democrat,middle,397.73
Democrat,room,school,computer,list,643.66
cover,benefit,of,vote,call,200.08
miss,wait,research,series,oil,955.29
now,market,anyone,out,lead,308.46
hair,just,after,friend,room,334.58
human,event,teach,church,her,576.13
night,seek,officer,real,sound,148.56
song,him,local,thousand,serve,314.23
writer,firm,nice,brother,natural,988.23
collection,company,poor,by,of,816.77
inside,point,major,society,instead,467.95
smile,score,together,miss,read,130.66
especially,concern,interest,hour,campaign,738.89
back,bar,many,parent,already,176.44
today,believe,long,soldier,participant,640.34
physical,quality,worry,example,north,587.45
television,thought,amount,first,attorney,473.48
respond,never,often,say,kind,799.7
news,model,structure,fine,operation,845.22
suggest,near,laugh,general,bank,1.99
quite,focus,test,personal,again,532.69
open,write,minute,environment,meeting,94.63
before,use,notice,season,sea,644.99
manager,matter,leave,her,road,402.87
management,picture,strategy,even,former,72.87
cause,movie,training,above,along,24.37
help,what,rest,indicate,partner,41.97
management,statement,after,example,policy,556.41
space,system,current,project,take,281.29
view,save,smile,them,successful,598.41
shake,reveal,read,position,water,963.34
hundred,believe,such,writer,adult,327.24
executive,operation,lay,stand,yard,583.93
understand,image,ever,apply,phone,932.97
also,sell,last,police,plant,506.48
bad,later,number,author,network,678.98
month,cause,action,modern,under,920.3
throw,later,beyond,early,game,327.39
service,top,power,finally,strategy,158.08
lose,television,bring,hear,street,163.9
ten,purpose,south,despite,order,916.31
common,form,cause,reality,near,736.78
best,everyone,order,factor,city,261.28
unit,word,finish,follow,herself,19.98
keep,market,social,mention,whole,524.99
community,finish,either,accept,loss,732.95
matter,generation,then,effort,some,449.78
treatment,bring,interesting,thing,lose,415.19
administration,always,natural,upon,place,53.21
look,per,though,structure,to,108.0
without,agency,born,thousand,speech,135.4
instead,gun,score,speak,discussion,981.73
short,indeed,how,of,star,150.78
indeed,food,term,like,join,374.03
of,gun,front,type,response,492.8
knowledge,table,line,everyone,get,172.87
with,decision,eat,professor,professor,101.26
establish,player,account,physical,agreement,468.8
ten,watch,affect,authority,economy,155.49
read,former,worker,require,chance,451.72
suggest,region,point,traditional,cut,663.6
perform,reflect,again,state,television,469.98
learn,officer,major,write,forget,171.63
form,fear,large,rich,way,77.97
situation,night,but,election,dinner,754.6
majority,debate,professor,worry,board,896.89
road,wait,avoid,summer,discussion,15.92
service,if,argue,them,suggest,744.11
money,let,large,including,new,607.14
plan,discussion,end,wish,police,827.81
during,late,administration,few,class,690.27
mission,life,move,with,then,60.58
base,describe,play,effect,it,183.95
whose,significant,hold,right,soldier,612.76
eat,some,away,question,thousand,533.66
give,common,why,look,heart,993.67
item,pick,officer,unit,lot,333.29
day,good,instead,walk,somebody,803.99
left,western,meet,knowledge,another,436.64
care,turn,fill,interesting,wear,882.58
drug,training,lead,size,them,813.14
fight,enjoy,call,edge,make,489.54
west,leader,own,free,most,194.45
what,official,throughout,note,oil,912.14
career,generation,long,better,deep,331.49
it,wonder,moment,less,final,521.98
eight,develop,mission,sound,radio,774.37
message,service,around,record,wait,933.7
human,author,city,pay,piece,406.82
we,argue,couple,executive,production,896.61
remember,direction,continue,less,need,545.24
light,young,wear,song,card,963.41
never,street,memory,place,manage,878.25
personal,glass,a,method,green,401.19
wear,Congress,significant,either,film,446.07
spring,improve,hot,necessary,school,373.68
threat,message,fly,but,election,157.18
agency,degree,serve,knowledge,sea,199.47
grow,place,during,in,north,260.84
significant,network,place,ball,serious,552.85
already,machine,leader,south,professional,420.33
street,education,game,front,couple,449.17
because,house,everyone,economic,organization,642.64
if,well,reduce,particular,go,810.74
born,threat,budget,yet,information,144.28
street,billion,standard,base,guy,469.21
around,have,everybody,federal,could,917.96
throughout,recognize,tree,really,born,63.47
line,country,condition,determine,knowledge,314.5
miss,wait,operation,scene,continue,966.05
project,others,most,where,statement,448.91
certain,that,investment,network,who,751.37
push,couple,nothing,court,later,61.27
brother,people,arrive,interest,detail,668.14
hour,question,to,high,adult,197.12
kid,go,check,more,figure,91.86
do,man,us,network,consider,587.28
ask,find,cell,receive,development,216.34
southern,throughout,game,specific,society,351.17
about,price,defense,deep,structure,156.52
technology,detail,stuff,apply,source,371.45
charge,us,easy,glass,place,662.81
least,her,among,finally,baby,590.98
seven,child,wide,name,fact,46.11
fish,focus,choice,increase,country,276.43
peace,one,carry,size,note,527.18
learn,little,friend,include,middle,638.84
against,past,who,way,either,639.69
material,project,big,ground,occur,162.76
about,ball,score,check,paper,207.81
writer,us,economic,him,oil,272.18
blood,real,deal,people,break,862.22
become,over,return,letter,of,119.2
do,director,everyone,indicate,office,977.79
determine,expert,stop,television,game,246.48
without,more,reveal,heart,group,252.44
ahead,where,relate,stop,defense,667.94
yet,imagine,general,toward,how,845.61
practice,born,against,south,prepare,932.12
unit,south,him,attack,compare,543.81
call,role,friend,chance,wind,714.53
stay,hard,movement,experience,us,838.95
whatever,today,nice,may,stay,148.48
city,detail,note,management,court,190.29
her,lose,particularly,sort,Democrat,181.45
along,theory,most,hit,action,75.5
cultural,paper,dinner,back,alone,110.25
history,threat,prepare,exactly,save,600.83
very,eight,yeah,key,box,311.31
property,easy,health,have,hit,744.21
expert,none,huge,feeling,kind,250.67
prevent,success,painting,sea,defense,362.27
your,person,shoulder,exist,once,770.44
speak,state,full,time,their,403.79
ahead,far,result,throughout,way,56.29
simple,reason,option,teacher,small,528.47
quite,or,town,would,conference,462.09
finally,though,technology,travel,society,304.32
understand,reason,general,property,analysis,681.36
attack,reduce,along,inside,forget,651.3
find,change,owner,various,level,997.45
research,environmental,season,minute,knowledge,987.6
catch,site,perform,someone,game,470.99
consumer,war,little,news,nice,358.37
college,month,trip,final,government,524.7
give,likely,least,set,save,31.41
big,several,nor,risk,face,705.64
treatment,ten,young,range,approach,149.83
anyone,foreign,list,indeed,west,302.86
begin,system,consider,play,order,490.33
sell,office,early,about,compare,75.42
movement,film,relate,your,into,808.69
next,call,move,few,also,93.11
hope,central,like,young,somebody,993.73
well,concern,discuss,none,nor,484.4
rule,idea,action,appear,seem,908.88
interesting,interest,probably,quickly,listen,547.54
able,among,wrong,describe,city,438.34
class,modern,alone,kid,account,531.88
significant,civil,record,tell,hundred,981.69
rest,push,forget,keep,any,714.94
college,push,discover,everyone,could,923.61
blue,responsibility,fish,during,small,718.56
benefit,service,everybody,as,physical,479.08
including,whatever,why,far,brother,139.77
month,someone,suddenly,force,others,968.08
financial,politics,money,if,up,199.44
many,city,others,always,prove,879.69
common,tend,on,art,green,491.51
many,picture,region,professional,type,220.48
stand,will,them,free,car,178.87
still,effort,field,charge,newspaper,500.76
act,generation,more,art,treat,282.08
service,many,town,arrive,there,344.05
partner,region,whatever,keep,air,369.28
protect,executive,draw,human,have,430.0
data,too,west,man,when,424.06
indeed,available,before,us,easy,196.18
student,author,likely,consider,long,445.0
discover,walk,start,pull,tough,795.61
PM,mother,public,example,employee,323.42
explain,hard,central,stock,later,283.34
example,second,time,thing,itself,619.78
but,every,nice,might,eight,4.68
anything,business,person,office,ok,817.08
get,view,visit,marriage,idea,53.96
score,provide,water,why,who,330.0
with,customer,build,near,important,659.32
begin,impact,stay,state,these,689.48
yeah,current,hope,skill,indeed,783.93
guy,yard,record,traditional,attack,509.73
generation,teacher,good,idea,begin,167.56
send,nearly,since,believe,to,918.34
few,staff,author,adult,themselves,633.69
PM,turn,country,upon,with,785.12
green,size,especially,miss,physical,21.82
end,born,baby,visit,serious,834.53
whatever,view,close,leader,top,608.36
describe,require,central,six,parent,261.84
need,education,specific,inside,over,822.7
that,nearly,history,group,better,117.25
security,action,perform,rise,career,85.72
face,either,conference,foot,evening,369.82
sort,out,tonight,answer,us,12.33
song,real,often,admit,perhaps,959.65
child,know,half,act,form,122.56
audience,see,exactly,citizen,seven,178.62
husband,significant,guy,turn,center,96.14
else,able,take,or,activity,5.02
Congress,old,together,whatever,picture,250.77
second,city,material,pick,full,907.07
writer,record,very,ten,technology,526.05
see,direction,hour,social,turn,821.98
moment,than,or,continue,themselves,843.41
position,car,more,security,really,666.79
tree,really,across,low,finally,486.74
sure,increase,particular,agreement,human,904.36
message,have,you,piece,blood,709.52
under,include,without,reveal,look,51.55
song,think,nice,whole,line,54.29
tell,myself,doctor,hotel,hear,710.57
why,near,strategy,impact,sign,881.76
American,indicate,office,onto,economic,684.66
last,throw,authority,fall,across,926.7
candidate,painting,between,spring,hear,43.12
collection,single,financial,anyone,plan,938.72
want,perform,education,history,plant,132.05
article,medical,east,as,rest,985.16
bag,group,child,commercial,price,408.21
meeting,television,long,sound,trade,967.48
eat,recently,pattern,picture,analysis,475.98
against,eat,space,member,million,31.71
probably,describe,short,owner,doctor,690.58
start,what,above,make,others,357.09
throw,pattern,soon,responsibility,yard,795.46
front,good,sea,product,probably,191.07
rich,difficult,service,institution,I,657.43
door,myself,executive,herself,may,641.88
travel,onto,story,western,artist,308.2
piece,clearly,but,until,including,49.18
only,degree,another,professor,probably,61.15
clearly,appear,offer,about,child,85.67
police,eye,clear,him,interview,389.96
than,big,notice,collection,would,500.86
purpose,security,firm,thousand,rich,322.11
run,certain,main,charge,reflect,85.2
adult,nature,above,center,star,502.42
financial,eat,often,probably,give,162.67
although,read,race,whose,child,46.85
detail,feel,idea,effect,mouth,496.71
brother,network,left,low,take,873.69
reflect,exactly,gun,meeting,wish,916.71
position,measure,knowledge,pay,light,200.08
use,health,even,like,today,183.92
police,manage,affect,enough,season,369.26
because,among,analysis,whose,I,71.68
effect,energy,risk,own,often,952.73
build,nation,assume,with,left,756.93
southern,fall,church,now,where,599.97
administration,conference,side,nature,who,969.61
tough,beautiful,step,also,speech,395.01
coach,day,recent,send,her,586.75
these,by,soon,method,later,591.33
